SMILES,Unnamed: 0,pIC50,num_atoms,logP,Molecular weight,TPSA,H Acceptors,H Donors,Ring Count,Lipinski pass
C=C(C)C(N)=O,2368,0.9,6,0.047799999999999954,85.106,43.09,1,1,0,True
C=C(C)C(=O)O,2369,0.23,6,0.6471,86.08999999999997,37.3,1,1,0,True
O=C(O)C(Cl)Cl,2370,0.13,6,0.8747,128.942,37.3,1,1,0,True
CC(C)[N+](=O)[O-],2371,0.21,6,0.6715,89.094,43.14,2,0,0,True
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,2372,,33,-1.2435999999999974,460.43900000000014,201.84999999999997,10,7,4,False
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2373,0.0,17,3.423700000000002,228.291,40.46,2,2,2,True
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2374,0.02,17,1.6838000000000002,248.30700000000002,86.18,4,2,2,True
Cc1ccc(S(=O)(=O)N(C)N=O)cc1,2375,0.05,14,1.29692,214.246,66.81,4,0,1,True
NNS(=O)(=O)c1ccccc1,2376,,11,-0.1614000000000002,172.209,72.19,3,2,1,True
CC(=O)OC(C)(C)C1CC=C(C)CC1,2377,0.0,14,3.0745000000000013,196.28999999999996,26.3,2,0,1,True
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,2378,0.14,19,0.8681999999999999,280.30899999999997,107.2,6,2,2,True
CCOS(=O)(=O)c1ccc(C)cc1,2379,0.02,13,1.72022,200.25900000000001,43.370000000000005,3,0,1,True
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,2380,0.0,20,4.805200000000005,270.372,18.46,2,0,2,True
CC1=CCC2CC1C2(C)C,2381,0.0,10,2.9987000000000013,136.238,0.0,0,0,3,True
CCC(Br)C(=O)O,2382,0.06,7,1.2445000000000002,167.00199999999998,37.3,1,1,0,True
CCC(N)C(=O)O,2383,,7,-0.19169999999999998,103.12099999999998,63.32000000000001,2,2,0,True
C=C(C)C(=O)OC,2384,0.18,7,0.7355,100.11699999999998,26.3,2,0,0,True
CN(C)C(=N)N(C)C,2385,0.9,8,0.0443699999999998,115.17999999999999,30.330000000000005,1,1,0,True
Nc1c(S(=O)(=O)O)ccc2ccccc12,2386,0.02,15,1.6687,223.25300000000001,80.39,3,2,2,True
O=C1NS(=O)(=O)c2ccccc21,2387,0.76,12,0.11869999999999997,183.18800000000002,63.24,3,1,2,True
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,2388,0.03,24,1.5148000000000008,370.4080000000001,160.78,6,4,2,True
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,2389,0.0,21,3.6199400000000033,294.307,103.35,5,0,1,True
Nc1ccc2ccccc2c1S(=O)(=O)O,2390,0.02,15,1.6687,223.253,80.39,3,2,2,True
Cc1cccc(C)c1[N+](=O)[O-],2391,0.01,11,2.21164,151.165,43.14,2,0,1,True
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2392,0.0,29,3.4487000000000023,408.5790000000002,97.99000000000001,4,4,4,True
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2393,0.0,23,3.609600000000003,308.3330000000001,67.50999999999999,4,1,3,True
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,2394,0.0,33,6.924700000000006,443.56700000000023,55.08000000000001,3,1,4,False
OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,2395,0.0,23,3.7703000000000024,306.36100000000005,60.69,3,3,3,True
O=C1c2ccccc2-c2cccc3cccc1c23,2396,0.0,18,4.051200000000002,230.266,17.07,1,0,4,True
O=C(O)C1c2ccccc2Oc2ccccc21,2397,0.0,17,3.0088000000000017,226.231,46.53,2,1,3,True
CNc1cccc2c1C(=O)c1ccccc1C2=O,2398,0.0,18,2.5037000000000003,237.25799999999998,46.17,3,1,3,True
Nc1cccc2c1C(=O)c1ccccc1C2=O,2399,0.01,17,2.0442,223.231,60.160000000000004,3,1,3,True
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,2400,0.0,26,4.083000000000003,340.37800000000004,51.21,3,0,4,True
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2401,0.0,14,4.8618,295.336,43.14,2,0,1,True
O=c1c(=O)c2cccc3cccc1c32,2402,0.01,14,2.2188,182.178,34.14,2,0,3,True
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2403,0.0,18,4.209900000000002,281.138,37.3,1,1,2,True
O=C1c2ccccc2C(=O)C1c1ccccc1,2404,0.0,17,2.849400000000001,222.243,34.14,2,0,3,True
O=C1CCC(=O)N1c1ccccc1,2405,0.05,13,1.3399999999999999,175.187,37.38,2,0,2,True
c1cc2c3c(cccc3c1)CC2,2406,0.0,12,2.9384000000000006,154.21199999999993,0.0,0,0,3,True
Cc1c[nH]c2ccccc12,2407,0.0,10,2.4763200000000003,131.17799999999997,15.79,0,1,2,True
Cc1cccc(C(=O)O)c1O,2408,0.04,11,1.39882,152.149,57.53,2,2,1,True
Cc1cccc([N+](=O)[O-])c1C,2409,0.01,11,2.21164,151.165,43.14,2,0,1,True
Cc1c(Cl)cccc1[N+](=O)[O-],2410,0.0,11,2.5566200000000006,171.58299999999997,43.14,2,0,1,True
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,2411,0.0,28,4.477900000000005,392.58000000000015,77.76,3,3,4,True
Cn1ccc(=O)c2ccccc21,2412,0.03,12,1.5385,159.188,22.0,2,0,2,True
Oc1cccc2c(O)cccc12,2413,0.01,12,2.2509999999999994,160.172,40.46,2,2,2,True
Cn1cnc2c1c(=O)[nH]c(=O)n2C,2414,,13,-1.0397,180.16699999999997,72.68,5,1,2,True
O=C1C=C(O)C(=O)c2ccccc21,2415,0.03,13,1.5075,174.155,54.37,3,1,2,True
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2416,0.0,29,3.7033000000000023,394.4230000000001,63.22,6,0,5,True
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,2417,,27,-1.7235599999999989,376.36900000000014,161.56,9,5,3,False
Cc1ccccc1C(OCCN(C)C)c1ccccc1,2418,0.0,20,3.662620000000003,269.388,12.47,2,0,2,True
CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2419,0.0,23,5.674600000000005,346.9270000000001,6.48,3,0,3,False
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2420,0.0,27,4.530100000000004,401.96300000000025,49.57000000000001,4,1,4,True
O=C1C(=O)c2ccccc2-c2ccccc21,2421,0.0,16,2.7326000000000006,208.21599999999998,34.14,2,0,3,True
CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,2422,0.0,18,3.024400000000001,236.26999999999998,34.14,2,0,3,True
O=C1c2ccccc2C(=O)c2ccccc21,2423,0.0,16,2.4620000000000006,208.21599999999998,34.14,2,0,3,True
CCOC(=O)c1ccccc1C(=O)OCC,2424,0.01,16,2.04,222.23999999999995,52.60000000000001,4,0,1,True
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,2425,0.0,20,3.3122000000000025,278.348,52.60000000000001,4,0,1,True
CCCCOC(=O)c1ccccc1C(=O)OCCCC,2426,0.0,20,3.600400000000003,278.348,52.60000000000001,4,0,1,True
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,2427,0.0,24,5.160800000000005,334.45600000000024,52.60000000000001,4,0,1,False
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,2428,0.0,32,8.281600000000006,446.6720000000005,52.60000000000001,4,0,1,False
O=S(=O)(O)c1ccc(O)c2ccccc12,2429,0.02,15,1.7921,224.237,74.60000000000001,3,2,2,True
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,2430,0.0,21,4.487000000000004,298.45500000000004,6.48,3,0,3,True
CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,2431,0.0,24,3.9268000000000027,339.50800000000015,9.72,4,0,4,True
c1ccc2c(c1)ccc1ccccc12,2432,0.0,14,3.993000000000002,178.23399999999998,0.0,0,0,3,True
c1ccc2c(c1)ccc1ncccc12,2433,0.0,14,3.388000000000001,179.22199999999998,12.89,1,0,3,True
Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,2434,,14,-0.3863000000000001,214.612,72.68,5,1,2,True
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,2435,0.0,13,3.273900000000001,239.485,37.3,1,1,1,True
O=C1NC(=O)c2ccccc21,2436,0.27,11,0.5702,147.13299999999998,46.17,2,1,2,True
O=C1OC(=O)c2ccccc21,2437,0.1,11,0.9972,148.11699999999996,43.370000000000005,3,0,2,True
COc1c(N)cccc1[N+](=O)[O-],2438,0.07,12,1.1856,168.15199999999996,78.39,4,1,1,True
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,2439,0.0,23,4.000500000000003,312.36499999999995,52.60000000000001,4,0,2,True
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,2440,0.0,25,3.4853000000000023,343.471,54.46,4,1,2,True
COc1cc([N+](=O)[O-])c2ncccc2c1,2441,0.01,15,2.1516,204.185,65.26,4,0,2,True
CCn1c2ccccc2c2ccccc21,2442,0.0,15,3.8144000000000027,195.265,4.93,1,0,3,True
O=NN(c1ccccc1)c1ccccc1,2443,0.0,15,3.5061000000000018,198.225,32.67,2,0,2,True
CCN1C(=O)NC(c2ccccc2)C1=O,2444,0.05,15,1.2993999999999999,204.22899999999998,49.410000000000004,2,1,2,True
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,2445,0.01,17,1.9818999999999996,224.287,55.92,2,2,3,True
COP(=S)(OC)SCn1nnc2ccccc2c1=O,2446,0.01,19,1.9994999999999998,317.33200000000005,66.24000000000001,8,0,2,True
NNc1nncc2ccccc12,2447,0.12,12,0.9153999999999998,160.17999999999998,63.83,4,2,2,True
O=C(O)c1cccc2ccccc12,2448,0.0,13,2.538000000000001,172.183,37.3,1,1,2,True
CN(C)c1cccc2ccccc12,2449,0.0,13,2.905800000000001,171.24299999999997,3.24,1,0,2,True
O=[N+]([O-])c1cccc2ccccc12,2450,0.0,13,2.748000000000001,173.171,43.14,2,0,2,True
c1ccc2c(c1)Cc1ccccc1-2,2451,0.0,13,3.2578000000000014,166.22299999999998,0.0,0,0,3,True
c1ccc2c(c1)[nH]c1ccccc12,2452,0.0,13,3.3211000000000013,167.21099999999998,15.79,0,1,3,True
COc1cc(C=O)cc(OC)c1OC,2453,0.03,14,1.5248999999999997,196.20199999999997,44.760000000000005,4,0,1,True
O=C(O)Cc1cccc2ccccc12,2454,0.0,14,2.4669000000000008,186.21,37.3,1,1,2,True
NC(=S)Nc1cccc2ccccc12,2455,0.0,14,2.4953000000000003,202.28199999999998,38.05,1,2,2,True
O=c1[nH]c(=O)c2ccccc2[nH]1,2456,0.61,12,0.21640000000000004,162.148,65.72,2,2,2,True
Clc1ccc2c(Cl)ccnc2c1,2457,0.0,12,3.5416000000000007,198.052,12.89,1,0,2,True
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2458,0.2,24,0.6970999999999998,350.3960000000001,95.94000000000001,5,2,3,True
O=C(Nc1ccccc1)c1ccccc1O,2459,0.0,16,2.644500000000001,213.236,49.33,2,2,2,True
CCOC(=O)c1ccccc1N,2460,0.04,12,1.4455,165.19199999999998,52.32,3,1,1,True
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2461,,16,-1.0621999999999998,236.13599999999997,123.20000000000003,8,0,2,True
COc1c(Cl)cc(Cl)cc1Cl,2462,0.0,11,3.655400000000001,211.475,9.23,1,0,1,True
O=C1OCc2ccccc21,2463,0.04,10,1.357,134.13399999999996,26.3,2,0,2,True
O=C(O)Cc1c[nH]c2ccccc12,2464,0.02,13,1.795,175.187,53.089999999999996,1,2,2,True
Clc1cccc(Cl)c1Cl,2465,0.0,9,3.6468000000000007,181.44899999999998,0.0,0,0,1,True
Cc1cccc(C)c1N,2466,0.01,9,1.88564,121.183,26.02,1,1,1,True
Cc1cccc(Cl)c1O,2467,0.0,9,2.3540200000000007,142.585,20.23,1,1,1,True
Oc1c(Cl)cccc1Cl,2468,0.0,9,2.699,163.003,20.23,1,1,1,True
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2469,0.0,10,4.7574,260.762,0.0,0,0,0,True
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,2470,0.0,12,6.261600000000001,551.49,0.0,0,0,1,False
ClC1C(Br)C(Br)C(Br)C(Br)C1Br,2471,0.0,12,4.424900000000002,513.087,0.0,0,0,1,False
Cc1c(C)c(C)c(C)c(C)c1C,2472,0.0,12,3.5371200000000025,162.27599999999998,0.0,0,0,1,True
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2473,0.0,12,4.6592,266.33799999999997,20.23,1,1,1,True
CCOC(=O)C(O)C(O)C(=O)OCC,2474,,14,-1.1656000000000004,206.19399999999996,93.06000000000002,6,2,0,True
Cc1cc(O)cc(C)c1Cl,2475,0.0,10,2.662440000000001,156.61199999999997,20.23,1,1,1,True
Oc1c(Cl)cc(Cl)cc1Cl,2476,0.0,10,3.3523999999999994,197.44799999999998,20.23,1,1,1,True
CCC(CC)C(=O)O,2477,0.03,8,1.5072,116.15999999999998,37.3,1,1,0,True
C=CN1CCCC1=O,2478,0.18,8,0.7523,111.14399999999999,20.310000000000002,1,0,1,True
O=C(O)c1ccsc1,2479,0.04,8,1.4463,128.152,37.3,2,1,1,True
O=C(O)c1ccco1,2480,0.11,8,0.9778,112.08399999999997,50.44,2,1,1,True
CC(=O)c1cccs1,2481,0.01,8,1.9507,126.17999999999998,17.07,2,0,1,True
FC(F)(F)c1ccccc1Cl,2482,0.0,11,3.3588000000000005,180.55599999999998,0.0,0,0,1,True
Nc1ccccc1C(F)(F)F,2483,0.01,11,2.2876000000000003,161.12599999999998,26.02,1,1,1,True
CC(C)(C)c1ccccc1O,2484,0.0,11,2.6897000000000015,150.22099999999998,20.23,1,1,1,True
Cc1ccccc1S(N)(=O)=O,2485,0.23,11,0.6424200000000001,171.22099999999998,60.160000000000004,2,1,1,True
Nc1ccc(S(=O)(=O)O)c(N)c1,2486,0.8,12,0.09769999999999995,188.208,106.41,4,3,1,True
O=C(O)c1ccccc1Br,2487,0.01,10,2.1473000000000004,201.01899999999995,37.3,1,1,1,True
O=C(O)c1ccccc1I,2488,0.01,10,1.9894,248.01899999999995,37.3,1,1,1,True
NC(=O)c1ccccc1N,2489,0.43,10,0.3677,136.15399999999994,69.11,2,2,1,True
CC(C)c1ccccc1O,2490,0.0,10,2.5156000000000014,136.19399999999996,20.23,1,1,1,True
Cc1ccccc1[N+](=O)[O-],2491,0.01,10,1.9032200000000001,137.138,43.14,2,0,1,True
O=[N+]([O-])c1ccccc1Cl,2492,0.01,10,2.2482000000000006,157.55599999999998,43.14,2,0,1,True
Nc1ccccc1[N+](=O)[O-],2493,0.07,10,1.177,138.126,69.16,3,1,1,True
O=[N+]([O-])c1ccccc1O,2494,0.05,10,1.3003999999999998,139.10999999999999,63.370000000000005,3,1,1,True
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2495,0.0,17,2.7221000000000015,240.21499999999997,106.51,5,1,1,True
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,2496,0.08,16,1.1167999999999996,229.10399999999998,149.65,7,1,1,True
NC(=O)c1ccccc1C(N)=O,2497,,12,-0.11559999999999981,164.16399999999996,86.18,2,2,1,True
O=C(O)c1ccccc1C(=O)O,2498,0.08,12,1.083,166.13199999999998,74.6,2,2,1,True
O=C1NC(=O)C(c2ccccc2)N1,2499,0.27,13,0.5670999999999999,176.175,58.2,2,2,2,True
CC(=O)Nc1ccccc1C(=O)O,2500,0.05,13,1.3432,179.17499999999995,66.4,2,2,1,True
O=C(O)c1cc(Br)ccc1O,2501,0.01,11,1.8528999999999995,217.018,57.53,2,2,1,True
Cc1ccc(O)c(C(=O)O)c1,2502,0.04,11,1.39882,152.149,57.53,2,2,1,True
Cc1ccc(Cl)cc1[N+](=O)[O-],2503,0.0,11,2.5566200000000006,171.583,43.14,2,0,1,True
O=[N+]([O-])c1cc(Cl)ccc1Cl,2504,0.0,11,2.9016,192.001,43.14,2,0,1,True
Nc1ccc(Cl)cc1[N+](=O)[O-],2505,0.01,11,1.8304,172.571,69.16,3,1,1,True
O=[N+]([O-])c1cc(Cl)ccc1O,2506,0.01,11,1.9537999999999998,173.555,63.370000000000005,3,1,1,True
Cc1cc(O)c(C(C)C)cc1Cl,2507,0.0,12,3.477420000000002,184.666,20.23,1,1,1,True
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,2508,0.0,12,3.5550000000000006,226.446,43.14,2,0,1,True
COC(=O)c1ccccc1C,2509,0.02,11,1.78162,150.17699999999996,26.3,2,0,1,True
CCC(C)c1ccccc1O,2510,0.0,11,2.9057000000000017,150.22099999999998,20.23,1,1,1,True
CC1CCC(C(C)C)C(O)C1,2511,0.0,11,2.4395000000000007,156.26899999999998,20.23,1,1,1,True
CC1=CC(=O)C(C(C)C)CC1,2512,0.0,11,2.567800000000001,152.23699999999997,17.07,1,0,1,True
CC(C)=C1CCC(C)CC1=O,2513,0.0,11,2.711900000000001,152.237,17.07,1,0,1,True
Cc1ccc(C(C)C)c(O)c1,2514,0.0,11,2.824020000000001,150.221,20.23,1,1,1,True
