,SMILES,pIC50,num_atoms,logP
10688,Clc1cc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,0.0,20,8.0527
10689,Clc1cc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,0.0,22,9.3595
10690,Clc1cc(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,0.0,21,8.7061
10691,CCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O,,21,-0.2572000000000002
10692,CC(C)C(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)C1O,,21,-0.4013000000000001
10693,CC(C)(C)C(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O,0.42,23,0.3789
10694,O=C(OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O)c1ccccc1,0.23,25,0.6465999999999996
10695,CCCCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O,0.3,23,0.5229999999999999
10696,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.01,16,2.0098
10697,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0.0,20,3.5064400000000013
10698,CC(C)NCC(O)COc1ccc(OCCOCCc2ccc(F)cc2)cc1,0.0,28,3.201500000000001
10699,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,0.0,29,3.4696000000000016
10700,CC(=O)c1nc([N+](=O)[O-])n(CC(C)O)c1C,0.21,16,0.68312
10701,COc1ccc(CN(C)N=O)cc1,0.02,13,1.8084
10702,CN(Cc1ccc(F)cc1)N=O,0.01,12,1.9389
10703,CN(Cc1ccc(Cl)cc1)N=O,0.0,12,2.4532000000000007
10704,CN(Cc1ccc(C#N)cc1)N=O,0.02,13,1.67148
10705,CN(Cc1ccc([N+](=O)[O-])cc1)N=O,0.02,14,1.708
10706,NC(=O)CCc1ccccn1,0.32,11,0.4994999999999999
10707,NC(=O)CCCCc1ccccn1,0.05,13,1.2796999999999996
10708,NC(=O)CCc1cccnc1,0.32,11,0.4994999999999999
10709,NC(=O)CCCc1cccnc1,0.13,12,0.8896
10710,OCCCCCc1cccnc1,0.02,12,1.7867
10711,NC(=O)CCCCc1cccnc1,0.05,13,1.2796999999999996
10712,NCCCCCc1cccnc1,0.02,12,1.7531000000000003
10713,NC(=O)CCc1ccncc1,0.32,11,0.4994999999999999
10714,NC(=O)CCCCc1ccncc1,0.05,13,1.2796999999999996
10715,CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1O,0.0,21,2.377400000000001
10716,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1,0.03,18,1.4863999999999995
10717,CCOC(=O)C1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0.0,21,2.798400000000001
10718,NCCCCc1ccccn1,0.04,11,1.3630000000000002
10719,NCCCCCc1ccccn1,0.02,12,1.7531000000000003
10720,NCCCCCc1cccnc1,0.02,12,1.7531000000000003
10721,NCCCCCc1ccncc1,0.02,12,1.7531000000000003
10722,COC(=O)C1C(C=C2CCSC2=O)C1(C)C,0.01,16,2.0215
10723,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(Nc4ncc(C)s4)C3=O)N1CC1NC12,0.54,30,0.2671200000000003
10724,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(Nc4ccn[nH]4)C3=O)N1CC1NC12,,29,-0.774699999999998
10725,Nc1ncc2ncn(COCCO)c2n1,,15,-0.6251000000000002
10726,N=[N+]=NC1CC(n2ccc(=O)[nH]c2=O)OC1CO,,18,-1.2646299999999997
10727,N=[N+]=NC1CC(n2ccc(N)nc2=O)OC1CO,,18,-0.97573
10728,Cc1c(Cl)ccc(OC(C)C(O)=Nc2ccccc2)c1Cl,0.0,21,5.357320000000003
10729,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,49,5.5773000000000055
10730,Cc1ccc(COC(=O)N(C)C)cc1,0.01,14,2.19322
10731,CN(C)C(=O)OCc1ccc(F)cc1,0.01,14,2.0239000000000003
10732,COc1cccc(COC(=O)N(C)C)c1,0.01,15,1.8934
10733,COc1ccc(COC(=O)N(C)C)cc1,0.01,15,1.8934
10734,CN(C)C(=O)OCc1cccc(N)c1,0.03,14,1.467
10735,CN(C)C(=O)OCc1cccc(Cl)c1,0.0,14,2.5382000000000007
10736,CN(C)C(=O)OCc1ccc(Cl)cc1,0.0,14,2.5382000000000007
10737,CN(C)C(=O)OCc1cccc(N(C)C)c1,0.01,16,1.9508
10738,CC(C)Oc1cccc(COC(=O)N(C)C)c1,0.0,17,2.6720000000000006
